Topic,Top_Words,Count
0,"comunidad, , , , ",24
1,"hay, comunidad, , , ",23
2,"comunidad, , , , ",23
3,"falta, comunidad, , , ",22
4,"comunidad, , , , ",20
5,"comunidad, , , , ",19
6,"falta, comunidad, , , ",18
7,"comunidad, , , , ",17
8,"no, hay, comunidad, , ",17
9,"potable, al, agua, acceso, falta",16
10,"comunitaria, participacion, no, hay, comunidad",15
11,"comunidad, , , , ",15
12,"no, hay, comunidad, , ",15
13,"no, hay, comunidad, , ",14
14,"no, hay, comunidad, , ",14
15,"comunitaria, participacion, no, hay, comunidad",9
16,"al, agua, acceso, potable, falta",7
17,"nuestras, responde, nadie, solicitudes, comunidad",6
18,"nuestras, nadie, solicitudes, responde, ",6
